fid,id sistema,id ruta,nombre,nombre completo,grupo,modalidad,subsistema,tipo unidad,longitud,zona
"2552","94","207",116U,116 Calzada Union,Ctm Snat,,,,0,Limite Municipal
"2553","95","208",116T,,,,,,0,Limite Municipal
"2554","111","225",326M,,,,,,0,Limite Municipal
"2555","112","226",326PG,,,,,,0,Limite Municipal
"2556","177","164","324",324 Carmen Romano,Ctm Feat,Microbus,NO,Midibus Panoramico,25.3,Limite Municipal
"2557","182","165","325",325 Fomerrey 11 - Matamoros,Ctm Feat,Midibus Panoramico,NO,Midibus Panoramico,23.15,Limite Municipal
"2558","218","156","65",65 Lazaro Cardenas,Transregio,Radial,ZN,Panoramica,30.2,Limite Municipal
"2559","223","163","77",77 Zaragoza,Ctm Gpe,Radial,OTE,Panoramica,36.27,Limite Municipal
"2560","98","211","64",,,,,,0,Limite Municipal
"2561","100","213","205",,,,,,0,Limite Municipal
"2562","108","221",39N,,,,,,0,Limite Municipal
"2563","109","222",39G,,,,,,0,Limite Municipal
"2564","181","176",334FV,334 Fidel Velazquez - Casa Blanca,Ctm Feat,Microbus,ZN,Midibus Panoramico,0,Limite Municipal
"2565","98","211","64",,,,,,0,Limite Municipal
"2566","100","213","205",,,,,,0,Limite Municipal
"2567","108","221",39N,,,,,,0,Limite Municipal
"2568","180","175",334KD,334 Kir Directo,Ctm Feat,Microbus,ZN,Midibus Panoramico,35,Limite Municipal
"2569","181","176",334FV,334 Fidel Velazquez - Casa Blanca,Ctm Feat,Microbus,ZN,Midibus Panoramico,0,Limite Municipal
"2570","99","212","313",,,,,,0,Limite Municipal
"2571","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"2572","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"2573","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2574","207","124",70V,70 Vivienda Popular,Martinez Garza,Radial,OTE,Panoramica,33.61,Limite Municipal
"2575","220","158","69",69 Centro,Martinez Garcia,Radial,,Panoramica,19.84,Limite Municipal
"2576","99","212","313",,,,,,0,Limite Municipal
"2577","154","27",201M,201 Metrobus,Ruta 201,Complementaria,LRC,Panoramica,36.34,Limite Municipal
"2578","155","28","201",201 Santa Catarina - San Nicolas,Ruta 201,Complementaria,LRC,Panoramica,63.97,Limite Municipal
"2579","167","139","408",408 San Jeronimo - Aud. San Pedro,Martinez Garcia,Metrobus,PTE,Panoramica,16.18,Limite Municipal
"2580","220","158","69",69 Centro,Martinez Garcia,Radial,,Panoramica,19.84,Limite Municipal
